jan	isrc	no	circle	spotify_album_artist_name	spotify_album_name	spotify_artist_name	spotify_track_name	spotify_album_url	spotify_track_url	apple_music_album_artist_name	apple_music_album_name	apple_music_artist_name	apple_music_track_name	apple_music_album_url	apple_music_track_url
4580204266564	JPW562000000	1	ShibayanRecords	ShibayanRecords	Broad Border	ShibayanRecords	Je t'aime moi champ de fleurs	https://open.spotify.com/album/24q3fmfpdaMI3GAYS1UZYa	https://open.spotify.com/track/5QVMIWeMIggF9hADTS9X4j	ShibayanRecords	Broad Border	ShibayanRecords	Je t'aime moi champ de fleurs	https://music.apple.com/jp/album/broad-border/1499080465	https://music.apple.com/jp/album/je-taime-moi-champ-de-fleurs/1499080465?i=1499080466
4580204266564	JPW562000001	2	ShibayanRecords	ShibayanRecords	Broad Border	ShibayanRecords	fuwafuwa*pocapoca	https://open.spotify.com/album/24q3fmfpdaMI3GAYS1UZYa	https://open.spotify.com/track/3bRxFeGvIZpveqEkTxlPao	ShibayanRecords	Broad Border	ShibayanRecords	fuwafuwa*pocapoca	https://music.apple.com/jp/album/broad-border/1499080465	https://music.apple.com/jp/album/fuwafuwa-pocapoca/1499080465?i=1499080467
4580204266564	JPW562000002	3	ShibayanRecords	ShibayanRecords	Broad Border	ShibayanRecords	Monochrome in the Night	https://open.spotify.com/album/24q3fmfpdaMI3GAYS1UZYa	https://open.spotify.com/track/0l5WcGe8KaaTtkDCiWlIJV	ShibayanRecords	Broad Border	ShibayanRecords	Monochrome in the Night	https://music.apple.com/jp/album/broad-border/1499080465	https://music.apple.com/jp/album/monochrome-in-the-night/1499080465?i=1499080468
